original_idx,chunk_idx,command,chunk_text
10,5,addr2line,"By default each
       input address generates one line of output. Two options can generate additional lines before each
FILENAME:LINENO
line (in that order). If the
-a
option is used then a line with the input address is
       displayed."
10,6,addr2line,"If the
-a
option is used then a line with the input address is
       displayed. If the
-f
option is used, then a line with the
FUNCTIONNAME
is
       displayed. This is the name of the function containing the
       address."
10,7,addr2line,"This is the name of the function containing the
       address. One option can generate additional lines after the
FILENAME:LINENO
line. If the
-i
option is used and the code at the given address is
       present there because of inlining by the compiler then additional
       lines are displayed afterwards."
10,8,addr2line,"If the
-i
option is used and the code at the given address is
       present there because of inlining by the compiler then additional
       lines are displayed afterwards. One or two extra lines (if the
-f
option is used) are displayed for each inlined function. Alternatively if the
-p
option is used then each input address
       generates a single, long, output line containing the address, the
       function name, the file name and the line number."
10,9,addr2line,"Alternatively if the
-p
option is used then each input address
       generates a single, long, output line containing the address, the
       function name, the file name and the line number. If the
-i
option has also been used then any inlined functions will be
       displayed in the same manner, but on separate lines, and prefixed
       by the text
(inlined by)
. If the file name or function name can not be determined,
addr2line
will print two question marks in their place."
10,10,addr2line,"If the file name or function name can not be determined,
addr2line
will print two question marks in their place. If the line number
       can not be determined,
addr2line
will print 0. When symbol+offset is used, +offset is optional, except when the
       symbol is ambigious with a hex number."
10,11,addr2line,"If the line number
       can not be determined,
addr2line
will print 0. When symbol+offset is used, +offset is optional, except when the
       symbol is ambigious with a hex number. The resolved symbols can be
       mangled or unmangled, except unmangled symbols with + are not
       allowed."
11,0,arch,"Print machine architecture.
--help
display this help and exit
--version
output version information and exit"
12,0,ar,"The GNU
ar
program creates, modifies, and extracts from archives. An
archive
is a single file holding a collection of other files in
       a structure that makes it possible to retrieve the original
       individual files (called
members
of the archive). The original files' contents, mode (permissions), timestamp,
       owner, and group are preserved in the archive, and can be restored
       on extraction."
12,1,ar,"The original files' contents, mode (permissions), timestamp,
       owner, and group are preserved in the archive, and can be restored
       on extraction. GNU
ar
can maintain archives whose members have names of any
       length; however, depending on how
ar
is configured on your system,
       a limit on member-name length may be imposed for compatibility
       with archive formats maintained with other tools. If it exists,
       the limit is often 15 characters (typical of formats related to
       a.out) or 16 characters (typical of formats related to coff)."
12,2,ar,"If it exists,
       the limit is often 15 characters (typical of formats related to
       a.out) or 16 characters (typical of formats related to coff). ar
is considered a binary utility because archives of this sort
       are most often used as
libraries
holding commonly needed
       subroutines. Since libraries often will depend on other
       libraries,
ar
can also record the dependencies of a library when
       the
--record-libdeps
option is specified."
12,3,ar,"Since libraries often will depend on other
       libraries,
ar
can also record the dependencies of a library when
       the
--record-libdeps
option is specified. ar
creates an index to the symbols defined in relocatable object
       modules in the archive when you specify the modifier
s
. Once
       created, this index is updated in the archive whenever
ar
makes a
       change to its contents (save for the
q
update operation)."
12,4,ar,"Once
       created, this index is updated in the archive whenever
ar
makes a
       change to its contents (save for the
q
update operation). An
       archive with such an index speeds up linking to the library, and
       allows routines in the library to call each other without regard
       to their placement in the archive. You may use
nm -s
or
nm --print-armap
to list this index table."
12,5,ar,"You may use
nm -s
or
nm --print-armap
to list this index table. If an archive lacks the table, another form of
ar
called
ranlib
can be used to add just the table. GNU
ar
can optionally create a
thin
archive, which contains a
       symbol index and references to the original copies of the member
       files of the archive."
12,6,ar,"GNU
ar
can optionally create a
thin
archive, which contains a
       symbol index and references to the original copies of the member
       files of the archive. This is useful for building libraries for
       use within a local build tree, where the relocatable objects are
       expected to remain available, and copying the contents of each
       object would only waste time and space. An archive can either be
thin
or it can be normal."
12,7,ar,"An archive can either be
thin
or it can be normal. It cannot be
       both at the same time. Once an archive is created its format
       cannot be changed without first deleting it and then creating a
       new archive in its place."
12,8,ar,"Once an archive is created its format
       cannot be changed without first deleting it and then creating a
       new archive in its place. Thin archives are also
flattened
, so that adding one thin archive
       to another thin archive does not nest it, as would happen with a
       normal archive. Instead the elements of the first archive are
       added individually to the second archive."
12,9,ar,"Instead the elements of the first archive are
       added individually to the second archive. The paths to the elements of the archive are stored relative to
       the archive itself. GNU
ar
is designed to be compatible with two different facilities."
12,10,ar,"The paths to the elements of the archive are stored relative to
       the archive itself. GNU
ar
is designed to be compatible with two different facilities. You can control its activity using command-line options, like the
       different varieties of
ar
on Unix systems; or, if you specify the
       single command-line option
-M
, you can control it with a script
       supplied via standard input, like the MRI ""librarian"" program."
13,0,afmtodit,nan
14,0,apropos,"Each manual page has a short description available within it. apropos
searches the descriptions for instances of
keyword
. keyword
is usually a regular expression, as if (
-r
) was used, or
       may contain wildcards (
-w
), or match the exact keyword (
-e
)."
14,1,apropos,"keyword
is usually a regular expression, as if (
-r
) was used, or
       may contain wildcards (
-w
), or match the exact keyword (
-e
). Using these options, it may be necessary to quote the
keyword
or
       escape (\) the special characters to stop the shell from
       interpreting them. The standard matching rules allow matches to be made against the
       page name and word boundaries in the description."
14,2,apropos,"The standard matching rules allow matches to be made against the
       page name and word boundaries in the description. The database searched by
apropos
is updated by the
mandb
program. Depending on your installation, this may be run by a periodic cron
       job, or may need to be run manually after new manual pages have
       been installed."
15,0,ar,"The
ar
utility is part of the Software Development Utilities
       option. The
ar
utility can be used to create and maintain groups of files
       combined into an archive. Once an archive has been created, new
       files can be added, and existing files in an archive can be
       extracted, deleted, or replaced."
15,1,ar,"Once an archive has been created, new
       files can be added, and existing files in an archive can be
       extracted, deleted, or replaced. When an archive consists entirely
       of valid object files, the implementation shall format the archive
       so that it is usable as a library for link editing (see
c99
and
fort77
). When some of the archived files are not valid object
       files, the suitability of the archive for library use is
       undefined."
15,2,ar,"When some of the archived files are not valid object
       files, the suitability of the archive for library use is
       undefined. If an archive consists entirely of printable files,
       the entire archive shall be printable. When
ar
creates an archive, it creates administrative information
       indicating whether a symbol table is present in the archive."
15,3,ar,"When
ar
creates an archive, it creates administrative information
       indicating whether a symbol table is present in the archive. When
       there is at least one object file that
ar
recognizes as such in
       the archive, an archive symbol table shall be created in the
       archive and maintained by
ar
; it is used by the link editor to
       search the archive. Whenever the
ar
utility is used to create or
       update the contents of such an archive, the symbol table shall be
       rebuilt."
15,4,ar,"Whenever the
ar
utility is used to create or
       update the contents of such an archive, the symbol table shall be
       rebuilt. The
-s
option shall force the symbol table to be rebuilt. All
file
operands can be pathnames."
15,5,ar,"All
file
operands can be pathnames. However, files within archives
       shall be named by a filename, which is the last component of the
       pathname used when the file was entered into the archive. The
       comparison of
file
operands to the names of files in archives
       shall be performed by comparing the last component of the operand
       to the name of the file in the archive."
15,6,ar,"The
       comparison of
file
operands to the names of files in archives
       shall be performed by comparing the last component of the operand
       to the name of the file in the archive. It is unspecified whether multiple files in the archive may be
       identically named. In the case of such files, however, each
file
and
posname
operand shall match only the first file in the archive
       having a name that is the same as the last component of the
       operand."
16,0,alias,"The
alias
utility shall create or redefine alias definitions or
       write the values of existing alias definitions to standard output. An alias definition provides a string value that shall replace a
       command name when it is encountered; see
Section 2.3.1
,
Alias
Substitution
. An alias definition shall affect the current shell execution
       environment and the execution environments of the subshells of the
       current shell."
16,1,alias,"An alias definition provides a string value that shall replace a
       command name when it is encountered; see
Section 2.3.1
,
Alias
Substitution
. An alias definition shall affect the current shell execution
       environment and the execution environments of the subshells of the
       current shell. When used as specified by this volume of
       POSIX.1â2017, the alias definition shall not affect the parent
       process of the current shell nor any utility environment invoked
       by the shell; see
Section 2.12
,
Shell Execution Environment
."
17,0,aria_chk,"Describe, check and repair of Aria tables. Used without options
       all tables on the command will be checked for errors
Global options
-#
,
--debug=
... Output debug log."
17,1,aria_chk,"Output debug log. Often this is 'd:t:o,filename'. -H
,
--HELP
Print all argument options sorted alphabetically."
17,2,aria_chk,"-H
,
--HELP
Print all argument options sorted alphabetically. -? ,
--help
Print all options by groups
--datadir
=
path
Path for control file (and logs if
--logdir
not used)
--logdir
=
path
Path for log files
--ignore-control-file
Don't open the control file."
17,3,aria_chk,",
--help
Print all options by groups
--datadir
=
path
Path for control file (and logs if
--logdir
not used)
--logdir
=
path
Path for log files
--ignore-control-file
Don't open the control file. Only use this if you are sure
              the tables are not in use by another program! --require-control-file
Abort if we can't find/read the maria_log_control file
-s
,
--silent
Only print errors."
17,4,aria_chk,"--require-control-file
Abort if we can't find/read the maria_log_control file
-s
,
--silent
Only print errors. One can use two
-s
to make maria_chk
              very silent. -t
,
--tmpdir
=
path
Path for temporary files."
17,5,aria_chk,"-t
,
--tmpdir
=
path
Path for temporary files. Multiple paths can be specified,
              separated by colon (:), they will be used in a round-robin
              fashion. -v
,
--verbose
Print more information."
17,6,aria_chk,"-v
,
--verbose
Print more information. This can be used with
--description
and
--check
. Use many
-v
for more verbosity."
17,7,aria_chk,"Use many
-v
for more verbosity. -V
,
--version
Print version and exit. -w
,
--wait
Wait if table is locked."
17,8,aria_chk,"-w
,
--wait
Wait if table is locked. Check options (check is the default action for aria_chk)
-c
,
--check
Check table for errors. -e
,
--extend-check
Check the table VERY thoroughly."
17,9,aria_chk,"-e
,
--extend-check
Check the table VERY thoroughly. Only use this in extreme
              cases as aria_chk should normally be able to find out if
              the table is ok even without this switch. -F
,
--fast
Check only tables that haven't been closed properly."
17,10,aria_chk,"-F
,
--fast
Check only tables that haven't been closed properly. -C
,
--check-only-changed
Check only tables that have changed since last check. -f
,
--force
Restart with '-r' if there are any errors in the table."
17,11,aria_chk,"-f
,
--force
Restart with '-r' if there are any errors in the table. States will be updated as with '--update-state'. -i
,
--information
Print statistics information about table that is checked."
17,12,aria_chk,"-i
,
--information
Print statistics information about table that is checked. -m
,
--medium-check
Faster than extend-check, but only finds 99.99% of all
              errors. Should be good enough for most cases."
17,13,aria_chk,"Should be good enough for most cases. -T
,
--read-only
Don't mark table as checked. -U
,
--update-state
Mark tables as crashed if any errors were found and clean
              if check didn't find any errors but table was marked as
              'not clean' before."
17,14,aria_chk,"-U
,
--update-state
Mark tables as crashed if any errors were found and clean
              if check didn't find any errors but table was marked as
              'not clean' before. This allows one to get rid of warnings
              like 'table not properly closed'. If table was updated,
              update also the timestamp for when the check was made."
17,15,aria_chk,"If table was updated,
              update also the timestamp for when the check was made. This
              option is on by default! Use
--skip-update-state
to
              disable."
17,16,aria_chk,"Use
--skip-update-state
to
              disable. --warning-for-wrong-transaction-id
Give a warning if we find a transaction id in the table
              that is bigger than what exists in the control file. Use
--skip-
..."
17,17,aria_chk,"Use
--skip-
... to disable warning
Recover (repair)/ options (When using '--recover' or '--safe-recover')
-B
,
--backup
Make a backup of the .MAD file as 'filename-time.BAK'. --correct-checksum
Correct checksum information for table."
17,18,aria_chk,"--correct-checksum
Correct checksum information for table. -D
,
--data-file-length=
#
              Max length of data file (when recreating data file when
              it's full). -e
,
--extend-check
Try to recover every possible row from the data file
              Normally this will also find a lot of garbage rows; Don't
              use this option if you are not totally desperate."
17,19,aria_chk,"-e
,
--extend-check
Try to recover every possible row from the data file
              Normally this will also find a lot of garbage rows; Don't
              use this option if you are not totally desperate. -f
,
--force
Overwrite old temporary files. -k
,
--keys-used=
#
              Tell Aria to update only some specific keys."
17,20,aria_chk,"-k
,
--keys-used=
#
              Tell Aria to update only some specific keys. # is a bit
              mask of which keys to use. This can be used to get faster
              inserts."
17,21,aria_chk,"This can be used to get faster
              inserts. --max-record-length=
#
              Skip rows bigger than this if aria_chk can't allocate
              memory to hold it. -r
,
--recover
Can fix almost anything except unique keys that aren't
              unique."
17,22,aria_chk,"-r
,
--recover
Can fix almost anything except unique keys that aren't
              unique. -n
,
--sort-recover
Forces recovering with sorting even if the temporary file
              would be very big. -p
,
--parallel-recover
Uses the same technique as '-r' and '-n', but creates all
              the keys in parallel, in different threads."
17,23,aria_chk,"-p
,
--parallel-recover
Uses the same technique as '-r' and '-n', but creates all
              the keys in parallel, in different threads. -o
,
--safe-recover
Uses old recovery method; Slower than '-r' but can handle a
              couple of cases where '-r' reports that it can't fix the
              data file. --transaction-log
Log repair command to transaction log."
17,24,aria_chk,"--transaction-log
Log repair command to transaction log. This is needed if
              one wants to use the aria_read_log to repeat the repair
--character-sets-dir=
... Directory where character sets are."
17,25,aria_chk,"Directory where character sets are. --set-collation
=
name
Change the collation used by the index. -q
,
--quick
Faster repair by not modifying the data file."
17,26,aria_chk,"-q
,
--quick
Faster repair by not modifying the data file. One can give
              a second '-q' to force aria_chk to modify the original
              datafile in case of duplicate keys. NOTE: Tables where the
              data file is corrupted can't be fixed with this option."
17,27,aria_chk,"NOTE: Tables where the
              data file is corrupted can't be fixed with this option. -u
,
--unpack
Unpack file packed with ariapack. Other actions
-a
,
--analyze
Analyze distribution of keys."
17,28,aria_chk,"Other actions
-a
,
--analyze
Analyze distribution of keys. Will make some joins in
              MariaDB faster. You can check the calculated distribution
              by using '--description
--verbose
table_name'."
17,29,aria_chk,"You can check the calculated distribution
              by using '--description
--verbose
table_name'. --stats_method
=
name
Specifies how index statistics collection code should treat
              NULLs. Possible values of name are ""nulls_unequal"" (default
              for 4.1/5.0), ""nulls_equal"" (emulate 4.0), and
              ""nulls_ignored""."
17,30,aria_chk,"Possible values of name are ""nulls_unequal"" (default
              for 4.1/5.0), ""nulls_equal"" (emulate 4.0), and
              ""nulls_ignored"". -d
,
--description
Prints some information about table. -A
,
--set-auto-increment
[=
value
]
              Force auto_increment to start at this or higher value If no
              value is given, then sets the next auto_increment value to
              the highest used value for the auto key + 1."
17,31,aria_chk,"-A
,
--set-auto-increment
[=
value
]
              Force auto_increment to start at this or higher value If no
              value is given, then sets the next auto_increment value to
              the highest used value for the auto key + 1. -S
,
--sort-index
Sort index blocks. This speeds up 'read-next' in
              applications."
17,32,aria_chk,"This speeds up 'read-next' in
              applications. -R
,
--sort-records=
#
              Sort records according to an index. This makes your data
              much more localized and may speed up things (It may be VERY
              slow to do a sort the first time!)."
17,33,aria_chk,"This makes your data
              much more localized and may speed up things (It may be VERY
              slow to do a sort the first time!). -b
,
--block-search=
#
              Find a record, a block at given offset belongs to. -z
,
--zerofill
Fill empty space in data and index files with zeroes."
17,34,aria_chk,"-z
,
--zerofill
Fill empty space in data and index files with zeroes. This
              makes the data file movable between different servers. --zerofill-keep-lsn
Like
--zerofill
but does not zero out LSN of data/index
              pages."
17,35,aria_chk,"--zerofill-keep-lsn
Like
--zerofill
but does not zero out LSN of data/index
              pages. Variables
--page_buffer_size=
#
              Size of page buffer. Used by
--safe-repair
--read_buffer_size=
#
              Read buffer size for sequential reads during scanning
--sort_buffer_size=
#
              Size of sort buffer."
17,36,aria_chk,"Used by
--safe-repair
--read_buffer_size=
#
              Read buffer size for sequential reads during scanning
--sort_buffer_size=
#
              Size of sort buffer. Used by
--recover
--sort_key_blocks=
#
              Internal buffer for sorting keys; Don't touch. --write_buffer_size=
#
              Write buffer size for sequential writes during repair

       Default options are read from the following files in the given
       order:
/etc/my.cnf /etc/mysql/my.cnf ~/.my.cnf
The following groups are read:
aria_chk
The following options may be given as the first argument:
--print-defaults
Print the program argument list and exit."
17,37,aria_chk,"--write_buffer_size=
#
              Write buffer size for sequential writes during repair

       Default options are read from the following files in the given
       order:
/etc/my.cnf /etc/mysql/my.cnf ~/.my.cnf
The following groups are read:
aria_chk
The following options may be given as the first argument:
--print-defaults
Print the program argument list and exit. --no-defaults
Don't read default options from any option file. --defaults-file=
#
              Only read default options from the given file #."
17,38,aria_chk,"--no-defaults
Don't read default options from any option file. --defaults-file=
#
              Only read default options from the given file #. --defaults-extra-file=
#
              Read this file after the global files are read."
18,0,admin,"The
admin
utility shall create new SCCS files or change parameters
       of existing ones. If a named file does not exist, it shall be
       created, and its parameters shall be initialized according to the
       specified options. Parameters not initialized by an option shall
       be assigned a default value."
18,1,admin,"Parameters not initialized by an option shall
       be assigned a default value. If a named file does exist,
       parameters corresponding to specified options shall be changed,
       and other parameters shall be left as is. All SCCS filenames supplied by the application shall be of the
       form s."
18,2,admin,"All SCCS filenames supplied by the application shall be of the
       form s. filename
. New SCCS files shall be given read-only
       permission mode."
18,3,admin,"New SCCS files shall be given read-only
       permission mode. Write permission in the parent directory is
       required to create a file. All writing done by
admin
shall be to a
       temporary
x-file
, named x."
18,4,admin,"All writing done by
admin
shall be to a
       temporary
x-file
, named x. filename
(see
get(1p)
) created with
       read-only mode if
admin
is creating a new SCCS file, or created
       with the same mode as that of the SCCS file if the file already
       exists. After successful execution of
admin
, the SCCS file shall
       be removed (if it exists), and the
x-file
shall be renamed with
       the name of the SCCS file."
18,5,admin,"After successful execution of
admin
, the SCCS file shall
       be removed (if it exists), and the
x-file
shall be renamed with
       the name of the SCCS file. This ensures that changes are made to
       the SCCS file only if no errors occur. The
admin
utility shall also use a transient lock file (named
       z."
18,6,admin,"This ensures that changes are made to
       the SCCS file only if no errors occur. The
admin
utility shall also use a transient lock file (named
       z. filename
), which is used to prevent simultaneous updates to the
       SCCS file; see
get(1p)
."
19,0,aria_dump_log,"Dump content of Aria log pages. -#
,
--debug
[=
name
]
              Output debug log. Often the argument is 'd:t:o,filename'."
19,1,aria_dump_log,"Often the argument is 'd:t:o,filename'. -f
,
--file
=
name
Path to file which will be read
-? ,
--help
Display this help and exit."
19,2,aria_dump_log,",
--help
Display this help and exit. -o
,
--offset=
#
              Start reading log from this offset
-n
,
--pages=
#
              Number of pages to read
-U
,
--unit-test
Use unit test record table (for logs created by unittests
-V
,
--version
Print version and exit. Default options are read from the following files in the given
       order:
/etc/my.cnf /etc/mysql/my.cnf ~/.my.cnf
The following groups are read:
aria_dump_log
The following options may be given as the first argument:
--print-defaults
Print the program argument list and exit."
19,3,aria_dump_log,"Default options are read from the following files in the given
       order:
/etc/my.cnf /etc/mysql/my.cnf ~/.my.cnf
The following groups are read:
aria_dump_log
The following options may be given as the first argument:
--print-defaults
Print the program argument list and exit. --no-defaults
Don't read default options from any option file. --defaults-file=
#
              Only read default options from the given file #."
19,4,aria_dump_log,"--no-defaults
Don't read default options from any option file. --defaults-file=
#
              Only read default options from the given file #. --defaults-extra-file=
#
              Read this file after the global files are read."
20,0,aria_ftdump,"Use: aria_ft_dump <table_name> <index_num>
-? ,
-h
,
--help
Display help and exit. -c
,
--count
Calculate per-word stats (counts and global weights)."
20,1,aria_ftdump,"-c
,
--count
Calculate per-word stats (counts and global weights). -d
,
--dump
Dump index (incl. data offsets and word weights)."
20,2,aria_ftdump,"data offsets and word weights). -l
,
--length
Report length distribution. -s
,
--stats
Report global stats."
20,3,aria_ftdump,"-l
,
--length
Report length distribution. -s
,
--stats
Report global stats. -v
,
--verbose
Be verbose."
21,0,aria_pack,"Pack a Aria-table to take much less space. Keys are not updated,
       you must run
aria_chk -rq
on the index (.MAI) file afterwards to
       update the keys. You should give the .MAI file as the filename
       argument."
21,1,aria_pack,"You should give the .MAI file as the filename
       argument. To unpack a packed table, run
aria_chk -u
on the table
-b
,
--backup
Make a backup of the table as table_name.OLD. --character-sets-dir
=
name
Directory where character sets are."
21,2,aria_pack,"--character-sets-dir
=
name
Directory where character sets are. -#
,
--debug
[=
name
]
              Output debug log. Often this is 'd:t:o,filename'."
21,3,aria_pack,"Often this is 'd:t:o,filename'. -f
,
--force
Force packing of table even if it gets bigger or if
              tempfile exists. -j
,
--join
=
name
Join all given tables into 'new_table_name'."
21,4,aria_pack,"-j
,
--join
=
name
Join all given tables into 'new_table_name'. All tables
              MUST have identical layouts. -?"
21,5,aria_pack,"-? ,
--help
Display this help and exit. -s
,
--silent
Be more silent."
21,6,aria_pack,"-s
,
--silent
Be more silent. -T
,
--tmpdir
=
name
Use temporary directory to store temporary table. -t
,
--test
Don't pack table, only test packing it."
21,7,aria_pack,"-t
,
--test
Don't pack table, only test packing it. -v
,
--verbose
Write info about progress and packing result. Use many
-v
for more verbosity!"
21,8,aria_pack,"Use many
-v
for more verbosity! -V
,
--version
Output version information and exit. -w
,
--wait
Wait and retry if table is in use."
21,9,aria_pack,"-w
,
--wait
Wait and retry if table is in use. Default options are read from the following files in the given
       order:
/etc/my.cnf /etc/mysql/my.cnf ~/.my.cnf
The following groups are read:
ariapack
The following options may be given as the first argument:
--print-defaults
Print the program argument list and exit. --no-defaults
Don't read default options from any option file."
21,10,aria_pack,"--no-defaults
Don't read default options from any option file. --defaults-file=
#
              Only read default options from the given file #. --defaults-extra-file=
#
              Read this file after the global files are read."
22,0,aria_read_log,"Display and apply log records from a Aria transaction log found in
       the current directory (for now)

       Note: Aria is compiled without
-DIDENTICAL_PAGES_AFTER_RECOVERY
which means that the table files are not byte-to-byte identical to
       files created during normal execution. This should be ok, except
       for test scripts that tries to compare files before and after
       recovery. You need to use one of
-d
or
-a
-a
,
--apply
Apply log to tables: modifies tables!"
22,1,aria_read_log,"You need to use one of
-d
or
-a
-a
,
--apply
Apply log to tables: modifies tables! you should make a
              backup first! Displays a lot of information if not run
              with
--silent
--character-sets-dir
=
name
Directory where character sets are."
22,2,aria_read_log,"Displays a lot of information if not run
              with
--silent
--character-sets-dir
=
name
Directory where character sets are. -c
,
--check
if
--display-only
, check if record is fully readable (for
              debugging)
-#
,
--debug
[=
name
]
              Output debug log. Often the argument is 'd:t:o,filename'."
22,3,aria_read_log,"Often the argument is 'd:t:o,filename'. --force-crash=
#
              Force crash after # recovery events
-? ,
--help
Display this help and exit."
22,4,aria_read_log,",
--help
Display this help and exit. -d
,
--display-only
display brief info read from records' header
-e
,
--end-lsn=
#
              Stop applying at this lsn. If end-lsn is used, UNDO:s will
              not be applied
-h
,
--aria-log-dir-path
=
name
Path to the directory where to store transactional log
-P
,
--page-buffer-size=
#
              The size of the buffer used for index blocks for Aria
              tables
-o
,
--start-from-lsn=
#
              Start reading log from this lsn
-C
,
--start-from-checkpoint
Start applying from last checkpoint
-s
,
--silent
Print less information during apply/undo phase
-T
,
--tables-to-redo
=
name
List of tables separated with , that we should apply REDO
              on."
22,5,aria_read_log,"If end-lsn is used, UNDO:s will
              not be applied
-h
,
--aria-log-dir-path
=
name
Path to the directory where to store transactional log
-P
,
--page-buffer-size=
#
              The size of the buffer used for index blocks for Aria
              tables
-o
,
--start-from-lsn=
#
              Start reading log from this lsn
-C
,
--start-from-checkpoint
Start applying from last checkpoint
-s
,
--silent
Print less information during apply/undo phase
-T
,
--tables-to-redo
=
name
List of tables separated with , that we should apply REDO
              on. Use this if you only want to recover some tables
-t
,
--tmpdir
=
name
Path for temporary files. Multiple paths can be specified,
              separated by colon (:)
--translog-buffer-size=
#
              The size of the buffer used for transaction log for Aria
              tables
-u
,
--undo
Apply UNDO records to tables."
22,6,aria_read_log,"Multiple paths can be specified,
              separated by colon (:)
--translog-buffer-size=
#
              The size of the buffer used for transaction log for Aria
              tables
-u
,
--undo
Apply UNDO records to tables. (disable with
--disable-undo
)
              (Defaults to on; use
--skip-undo
to disable.)
-v
,
--verbose
Print more information during apply/undo phase
-V
,
--version
Print version and exit. Default options are read from the following files in the given
       order:
/etc/my.cnf /etc/mysql/my.cnf ~/.my.cnf
The following groups are read:
aria_read_log
The following options may be given as the first argument:
--print-defaults
Print the program argument list and exit."
22,7,aria_read_log,"Default options are read from the following files in the given
       order:
/etc/my.cnf /etc/mysql/my.cnf ~/.my.cnf
The following groups are read:
aria_read_log
The following options may be given as the first argument:
--print-defaults
Print the program argument list and exit. --no-defaults
Don't read default options from any option file. --defaults-file=
#
              Only read default options from the given file #."
22,8,aria_read_log,"--no-defaults
Don't read default options from any option file. --defaults-file=
#
              Only read default options from the given file #. --defaults-extra-file=
#
              Read this file after the global files are read."
23,0,asa,"The
asa
utility shall write its input files to standard output,
       mapping carriage-control characters from the text files to line-
       printer control sequences in an implementation-defined manner. The first character of every line shall be removed from the input,
       and the following actions are performed. If the character removed is:

       <space>   The rest of the line is output without change."
23,1,asa,"If the character removed is:

       <space>   The rest of the line is output without change. 0         A <newline> is output, then the rest of the input line. 1         One or more implementation-defined characters that
                 causes an advance to the next page shall be output,
                 followed by the rest of the input line."
23,2,asa,"1         One or more implementation-defined characters that
                 causes an advance to the next page shall be output,
                 followed by the rest of the input line. +         The <newline> of the previous line shall be replaced
                 with one or more implementation-defined characters that
                 causes printing to return to column position 1, followed
                 by the rest of the input line. If the
'+'
is the first
                 character in the input, it shall be equivalent to
                 <space>."
23,3,asa,"+         The <newline> of the previous line shall be replaced
                 with one or more implementation-defined characters that
                 causes printing to return to column position 1, followed
                 by the rest of the input line. If the
'+'
is the first
                 character in the input, it shall be equivalent to
                 <space>. The action of the
asa
utility is unspecified upon encountering any
       character other than those listed above as the first character in
       a line."
24,0,ascii-xfr,"Ascii-xfr
Transfers files in ASCII mode. This means no flow
       control, no checksumming and no file-name negotiation. It should
only
be used if the remote system doesn't understand anything
       else."
24,1,ascii-xfr,"It should
only
be used if the remote system doesn't understand anything
       else. The ASCII protocol transfers files line-by-line. The EOL (End-Of-
       Line) character is transmitted as CRLF."
24,2,ascii-xfr,"The EOL (End-Of-
       Line) character is transmitted as CRLF. When receiving, the CR
       character is stripped from the incoming file. The Control-Z
       (ASCII 26) character signals End-Of-File, if option -e is
       specified (unless you change it to Control-D (ASCII 4) with -d)."
24,3,ascii-xfr,"The Control-Z
       (ASCII 26) character signals End-Of-File, if option -e is
       specified (unless you change it to Control-D (ASCII 4) with -d). Ascii-xfr
reads from
stdin
when receiving, and sends data on
stdout
when sending. Some form of input or output redirection to
       the modem device is thus needed when downloading or uploading,
       respectively."
25,0,attr,"The
attr
utility allows the manipulation of extended attributes
       associated with filesystem objects from within shell scripts. There are four main operations that
attr
can perform:
GET
The
-g attrname
option tells
attr
to search the named
              object and print (to
stdout
) the value associated with that
              attribute name. With the
-q
flag,
stdout
will be exactly
              and only the value of the attribute, suitable for storage
              directly into a file or processing via a piped command."
